AmbientTemp	SurfaceTemp	SolarRadiation	RelHumidity	SoilMoisture	Watermark	RainMeter	WindSpeed	WindDirection	AmbientTemp_3	SurfaceTemp_3	SolarRadiation_3	RelHumidity_3	SoilMoisture_3	Watermark_3	RainMeter_3	WindSpeed_3	WindDirection_3	AmbientTemp_7	SurfaceTemp_7	SolarRadiation_7	RelHumidity_7	SoilMoisture_7	Watermark_7	RainMeter_7	WindSpeed_7	WindDirection_7	AmbientTemp_11	SurfaceTemp_11	SolarRadiation_11	RelHumidity_11	SoilMoisture_11	Watermark_11	RainMeter_11	WindSpeed_11	WindDirection_11	AmbientTemp_14	SurfaceTemp_14	SolarRadiation_14	RelHumidity_14	SoilMoisture_14	Watermark_14	RainMeter_14	WindSpeed_14	WindDirection_14	AmbientTemp_6	SurfaceTemp_6	SolarRadiation_6	RelHumidity_6	SoilMoisture_6	Watermark_6	RainMeter_6	WindSpeed_6	WindDirection_6	AmbientTemp_5	SurfaceTemp_5	SolarRadiation_5	RelHumidity_5	SoilMoisture_5	Watermark_5	RainMeter_5	WindSpeed_5	WindDirection_5	AmbientTemp_10	SurfaceTemp_10	SolarRadiation_10	RelHumidity_10	SoilMoisture_10	Watermark_10	RainMeter_10	WindSpeed_10	WindDirection_10	AmbientTemp_9	SurfaceTemp_9	SolarRadiation_9	RelHumidity_9	SoilMoisture_9	Watermark_9	RainMeter_9	WindSpeed_9	WindDirection_9	AmbientTemp_12	SurfaceTemp_12	SolarRadiation_12	RelHumidity_12	SoilMoisture_12	Watermark_12	RainMeter_12	WindSpeed_12	WindDirection_12
8.48	12.6	412.083	45.666	25.53	-12.524	34.8	0.0	188.993	8.0	11.787	441.328	47.254	33.594	-9.321	28.8	0.0	188.605	5.82	2.538	0.0	48.567	24.949	-7.904	0.0	0.0	154.701	7.64	16.288	0.0	49.843	31.342	-9.253	35.0	0.0	181.631	6.32	9.162	0.0	52.639	10.927	-9.472	0.0	1.902	186.281	6.63	7.037	0.0	51.457	0.0	0.0	0.2	0.0	180.468	6.8	2.475	32.435	51.0	10.564	-1.0	0.0	1.098	171.266	6.22	2.725	0.0	52.327	26.547	-13.505	31.6	1.198	164.194	7.5	2.1	0.0	44.702	24.585	-20.691	0.0	0.0	106.46	8.55	16.913	0.0	43.473	10.927	-29.513	37.2	1.802	226.772
8.63	12.537	415.805	48.23	25.82	-12.59	34.8	0.0	206.623	7.85	12.162	443.455	46.056	33.594	-9.267	28.8	0.922	194.708	6.06	2.538	0.0	47.559	24.077	-7.936	0.0	0.0	166.132	7.58	16.85	0.0	47.755	31.124	-9.333	35.0	0.0	170.685	6.65	9.412	0.0	51.79	11.218	-9.785	0.0	2.045	186.281	6.74	7.287	0.0	50.147	0.0	0.0	0.2	2.07	171.75	5.91	1.975	31.372	60.456	10.564	-1.0	0.0	0.0	170.975	5.87	2.788	0.0	54.23	26.474	-13.101	31.6	1.232	182.018	7.22	1.663	0.0	47.77	24.367	-21.095	0.0	0.0	148.211	8.82	17.288	0.0	44.137	10.927	-29.442	37.2	1.609	204.686
8.63	13.037	420.059	45.591	25.385	-12.682	34.8	0.0	192.48	7.76	11.975	449.835	45.889	33.885	-9.346	28.8	1.358	198.583	6.24	2.475	0.0	47.06	23.859	-7.922	0.0	2.137	166.713	8.08	17.1	0.0	48.281	31.415	-9.369	35.0	0.0	176.884	6.2	9.475	0.0	54.748	11.218	-9.685	0.0	1.953	187.831	6.9	7.6	0.0	48.77	0.0	0.0	0.2	1.927	171.072	6.98	2.538	35.093	52.613	10.782	-1.0	0.0	0.0	161.676	6.56	3.163	0.0	50.304	26.402	-13.339	31.6	1.492	165.744	7.29	2.163	0.0	47.039	24.44	-21.757	0.0	0.0	107.622	8.63	16.288	0.0	43.64	10.709	-29.093	37.2	1.978	221.154
8.7	13.662	426.972	45.724	25.167	-12.8	34.8	0.0	198.68	7.85	12.162	454.621	46.491	33.812	-9.379	28.8	1.131	184.343	6.42	2.975	0.0	46.404	24.658	-8.003	0.0	0.0	168.36	7.88	17.038	0.0	48.531	31.269	-9.536	35.0	0.0	177.272	6.71	9.85	0.0	50.927	10.927	-9.834	0.0	1.978	182.406	7.0	7.725	0.0	48.691	0.0	0.0	0.2	2.045	164.485	6.55	2.35	32.435	53.946	10.492	-24.646	0.0	0.0	139.008	6.32	2.975	0.0	51.804	26.402	-13.487	31.6	1.483	159.545	7.24	1.975	0.0	48.141	24.585	-21.704	0.0	0.0	134.746	9.0	17.788	0.0	44.095	11.0	-29.939	37.2	1.902	198.486
8.62	13.537	430.162	45.996	25.167	-12.62	34.8	1.81	198.196	7.64	11.975	458.875	46.154	33.594	-9.21	28.8	1.274	224.932	6.61	3.6	0.0	46.459	24.295	-8.003	0.4	0.0	164.485	7.73	16.85	0.0	49.521	30.906	-9.333	35.0	0.0	173.106	6.86	9.912	0.0	52.477	11.508	-9.895	0.0	1.651	182.309	6.93	7.412	0.0	48.468	0.0	0.0	0.2	0.0	173.106	6.56	2.288	98.9	53.83	10.564	-1.0	0.0	1.575	170.781	6.51	3.288	0.0	50.81	26.184	-13.361	31.6	1.617	171.847	6.99	1.788	0.0	49.391	24.44	-20.399	0.0	0.0	138.911	9.3	18.163	0.0	42.671	10.709	-29.868	37.2	1.71	205.17
8.97	14.037	435.479	45.945	25.675	-12.752	34.8	0.0	190.349	8.31	13.037	461.002	46.642	33.739	-9.401	28.8	0.0	181.05	6.9	5.412	0.0	45.285	24.876	-8.217	0.4	0.0	166.519	8.06	17.475	0.0	44.581	31.197	-9.412	35.0	0.0	169.91	6.68	10.162	0.0	54.878	11.218	-9.919	0.0	1.768	194.611	6.82	7.412	0.0	48.851	0.0	0.0	0.2	0.0	176.884	6.58	2.6	429.63	54.511	10.274	-1.0	0.0	2.028	182.018	6.64	4.1	0.0	51.098	26.402	-13.747	31.6	1.534	191.608	6.83	1.975	0.0	50.431	25.239	-20.971	0.0	0.0	135.424	9.04	18.038	0.0	42.481	10.782	-29.935	37.2	1.592	203.33
9.0	14.537	439.733	45.448	25.748	-12.695	34.8	1.743	192.674	7.95	12.85	465.787	44.819	33.521	-9.448	28.8	0.0	226.191	6.94	6.725	0.0	45.974	24.731	-8.267	0.4	0.0	174.075	8.16	17.288	0.0	45.377	31.633	-9.406	35.0	0.0	167.294	8.21	10.662	0.0	46.754	11.0	-10.044	0.0	0.0	216.117	7.21	8.1	0.0	48.536	0.0	0.0	0.2	0.0	166.132	6.66	2.788	439.201	54.287	11.0	-1.0	0.0	0.0	185.699	6.81	5.35	0.0	49.853	26.692	-14.503	31.6	1.517	175.431	6.82	2.225	0.0	50.822	24.731	-21.354	0.0	0.0	120.409	8.73	18.35	0.0	44.126	10.855	-30.473	37.2	1.961	201.489
8.7	14.162	444.518	46.846	25.094	-12.895	34.8	0.0	202.07	7.67	12.787	473.763	44.722	31.923	-9.334	28.8	0.0	210.304	7.2	7.6	0.0	45.571	24.367	-8.541	0.4	1.877	186.281	8.38	18.038	0.0	47.735	31.051	-9.538	35.0	0.0	170.007	8.04	10.35	0.0	47.907	11.291	-10.0	0.0	2.078	196.355	7.21	8.35	0.0	49.816	0.0	0.0	0.2	1.701	180.759	7.47	2.975	442.923	49.608	10.927	-25.317	0.0	1.936	171.556	7.21	5.6	0.0	48.872	26.402	-14.415	31.6	1.408	184.924	7.2	1.975	0.0	48.993	24.949	-20.866	0.0	0.0	139.299	9.0	18.413	0.0	44.158	11.073	-30.505	37.2	1.492	227.644
8.84	14.6	450.367	48.349	25.748	-12.821	34.8	1.902	206.43	7.9	12.662	477.485	46.124	33.594	-9.407	28.8	0.0	214.954	6.88	7.1	0.0	46.74	24.44	-8.368	0.4	0.0	186.377	8.41	18.038	0.0	50.98	31.342	-9.484	35.0	0.0	169.232	8.03	10.475	0.0	46.296	11.145	-10.041	0.0	0.0	215.729	7.08	8.162	0.0	49.282	0.0	0.0	0.2	0.0	163.807	7.43	3.225	447.177	50.119	10.637	-1.0	0.0	1.969	173.881	7.2	5.725	0.0	49.237	26.91	-14.239	31.6	1.525	178.144	7.25	2.35	0.0	48.633	24.731	-20.863	0.0	0.0	125.834	8.86	18.413	0.0	43.762	10.782	-30.122	37.2	1.525	204.008
8.82	14.287	454.089	46.176	25.167	-12.685	34.8	1.994	186.474	7.62	12.475	483.866	48.068	33.594	-9.397	28.8	1.274	241.206	6.93	7.912	0.0	46.437	23.932	-8.46	0.4	0.0	173.397	8.1	18.288	0.0	48.714	31.56	-9.543	35.0	0.0	173.106	8.02	10.912	0.0	49.071	11.291	-10.396	0.0	1.81	197.518	6.92	8.287	0.0	50.715	0.0	0.0	0.2	0.0	160.901	7.01	3.1	452.494	52.379	10.782	-25.359	0.0	1.978	175.237	7.36	6.037	0.0	48.249	26.474	-14.637	31.6	1.601	189.671	7.06	1.913	0.0	49.766	24.731	-20.849	0.0	0.0	130.29	8.91	18.1	0.0	43.768	10.637	-29.966	37.2	1.785	220.282
